model,metric-value,number-of-alt-considered,metric-value-percent,best-alt-not-explainable
model226.csv,19,26,73.1,"['235', '145', '234', '34', '24', '15', '23']"
model209.csv,18,24,75.0,"['234', '134', '125', '34', '24', '23']"
model441.csv,17,19,89.5,"['235', '234']"
model119.csv,16,22,72.7,"['235', '135', '134', '125', '34', '15']"
model168.csv,23,24,95.8,['34']
model204.csv,18,24,75.0,"['145', '234', '134', '34', '24', '15']"
model189.csv,17,22,77.3,"['235', '125', '134', '25', '15']"
model113.csv,15,21,71.4,"['235', '234', '125', '134', '25', '34']"
model70.csv,17,19,89.5,"['145', '234']"
model15.csv,17,21,81.0,"['234', '125', '25', '34']"
model401.csv,17,25,68.0,"['145', '234', '134', '35', '34', '24', '15', '14']"
model317.csv,17,24,70.8,"['135', '234', '125', '124', '25', '34', '15']"
model225.csv,21,26,80.8,"['235', '135', '125', '15', '23']"
model211.csv,20,25,80.0,"['145', '135', '125', '15', '14']"
model483.csv,19,26,73.1,"['235', '135', '134', '35', '34', '15', '23']"
model360.csv,18,20,90.0,"['145', '15']"
model443.csv,18,20,90.0,"['235', '234']"
model417.csv,21,26,80.8,"['235', '135', '35', '15', '23']"
model431.csv,20,22,90.9,"['145', '134']"
model498.csv,20,27,74.1,"['145', '135', '134', '123', '34', '15', '14']"
model49.csv,18,22,81.8,"['135', '125', '25', '15']"
model383.csv,20,22,90.9,"['235', '25']"
model99.csv,21,24,87.5,"['234', '34', '24']"
model367.csv,19,23,82.6,"['145', '125', '134', '15']"
